"V2" "V3" "V4"
"HMEL002320g1" 144 816 802
"HMEL031736g1" 0 0 0
"HMEL012193g1" 0 0 0
"HMEL003760g2" 3 14 8
"HMEL002320g2" 159 823 976
"HMEL035095g1" 3287 11935 8132
"HMEL014982g1" 0 15 0
"HMEL013542g1" 92 201 106
"HMEL012246g1" 203 933 833
"HMEL037884g1" 85 665 652
"HMEL037740g1" 26 108 69
"HMEL036588g1" 0 0 1
"HMEL036444g1" 0 0 1
"HMEL036300g1" 0 0 0
"HMEL035148g1" 91 578 577
"HMEL035004g1" 0 0 1
"HMEL013542g2" 40 130 102
"HMEL010394" 3 58 36
"HMEL009961g1" 149 434 459
"HMEL007369g1" 145 783 614
"HMEL007225g1" 0 11 1
"HMEL005109g1" 131 599 706
"HMEL037937g1" 180 609 522
"HMEL022028g1" 21 153 154
"HMEL017098g1" 3 11 16
"HMEL011591g1" 484 1151 1115
"HMEL034493g1" 0 0 0
"HMEL033197g1" 0 0 0
"HMEL033053g1" 1 0 2
"HMEL017098g2" 0 9 0
"HMEL017098g3" 14 38 93
"HMEL017007g1" 291 1659 1660
"HMEL012940g1" 118 395 405
"HMEL010348g1" 249 933 1131
"HMEL006570g1" 84 520 517
"HMEL005130g1" 601 1899 1946
"HMEL035986g1" 1 7 8
"HMEL035842g1" 0 0 0
"HMEL034546g1" 0 0 0
"HMEL034402g1" 1 0 3
"HMEL033106g1" 887 3659 3106
"HMEL017301" 33 116 103
"HMEL022600" 0 0 0
"HMEL005803g1" 147 499 482
"HMEL006623g1" 73 236 221
"HMEL006767g1" 2111 12576 12524
"HMEL017792g1" 0 0 6
"HMEL015056g1" 0 0 0
"HMEL005803g2" 124 559 416
"HMEL032595g1" 65 226 92
"HMEL032451g1" 223 673 644
"HMEL031299g1" 9 57 85
"HMEL031155g1" 124 468 390
"HMEL031011g1" 0 0 4
"HMEL022602" 658 1310 858
"HMEL017792g2" 0 0 0
"HMEL017792g3" 2 12 37
"HMEL022604" 0 0 0
"HMEL017792g4" 15 45 29
"HMEL017989g1" 0 13 4
"HMEL017845g1" 0 0 0
"HMEL017792g5" 21 140 323
"HMEL017701g1" 0 2 10
"HMEL016549g1" 294 1932 2195
"HMEL003232g1" 23 126 31
"HMEL033944g1" 0 0 1
"HMEL033800g1" 3 4 65
"HMEL032648g1" 3 1 0
"HMEL032504g1" 697 3697 3605
"HMEL031208g1" 0 5 2
"HMEL022606" 1030 3322 2778
"HMEL017989g2" 1 48 1
"HMEL022607" 0 0 0
"HMEL022609" 0 0 0
"HMEL002609g1" 52 168 74
"HMEL003905g1" 0 0 0
"HMEL015894g1" 2 21 21
"HMEL014454g1" 27 77 52
"HMEL014310g1" 969 4246 2124
"HMEL013158g1" 49 92 32
"HMEL009380g1" 43 249 240
"HMEL008084g1" 5 50 72
"HMEL003905g2" 0 2 8
"HMEL037356g1" 0 0 0
"HMEL037212g1" 3 18 13
"HMEL031993g1" 496 3271 3155
"HMEL030697g1" 46 155 66
"HMEL030553g1" 8 16 24
"HMEL015947g1" 446 2958 1789
"HMEL015803g1" 0 0 1
"HMEL009577g1" 36 175 176
"HMEL002630g1" 60 172 122
"HMEL002774g1" 0 1 7
"HMEL005553" 913 3409 2011
"HMEL037409g1" 0 0 1
"HMEL031902g1" 1313 5883 2078
"HMEL030606g1" 5 1 11
"HMEL002774g2" 2 14 14
"HMEL036081g1" 0 0 0
"HMEL035261g1" 0 0 0
"HMEL013852g1" 104 360 356
"HMEL012556g1" 86 594 674
"HMEL012412g1" 74 335 358
"HMEL006042g1" 107 406 496
"HMEL006186g1" 951 4554 3559
"HMEL036898g1" 9 27 29
"HMEL036754g1" 0 0 0
"HMEL036610g1" 1 2 7
"HMEL035458g1" 1 1 1
"HMEL035314g1" 196 886 758
"HMEL034018g1" 0 0 0
"HMEL022141g1" 1567 5192 4223
"HMEL013905g1" 0 1 2
"HMEL008975g1" 18 28 52
"HMEL007679g1" 9 57 26
"HMEL007535g1" 117 406 300
"HMEL006715g1" 135 422 409
"HMEL006859g1" 227 846 707
"HMEL036807g1" 0 0 0
"HMEL017120g1" 3 27 23
"HMEL006859g2" 43 174 203
"HMEL033363g1" 2 9 1
"HMEL032067g1" 0 1 0
"HMEL020190g1" 15 272 331
"HMEL017120g2" 8 13 9
"HMEL017120g3" 37 329 291
"HMEL011954g1" 107 237 200
"HMEL010658g1" 3 14 8
"HMEL005584g1" 0 0 0
"HMEL004144g1" 6 16 13
"HMEL004288g1" 84 393 424
"HMEL034856g1" 35 46 49
"HMEL034712g1" 16 191 110
"HMEL033416g1" 86 226 117
"HMEL006933g1" 18 48 55
"HMEL034909g1" 0 0 0
"HMEL015222g1" 1237 3286 4210
"HMEL002193g1" 232 917 1047
"HMEL038124g1" 0 0 0
"HMEL032761g1" 13 39 51
"HMEL031465g1" 0 0 0
"HMEL031321g1" 184 750 582
"HMEL030169g1" 35 266 120
"HMEL030025g1" 262 1145 1015
"HMEL009049g1" 0 0 0
"HMEL003686g1" 108 684 583
"HMEL002246g1" 196 786 945
"HMEL032958g1" 0 0 0
"HMEL032814g1" 169 645 607
"HMEL031518g1" 0 3 2
"HMEL025004g1" 0 0 2
"HMEL013271g1" 0 0 1
"HMEL009049g2" 0 0 0
"HMEL036173g1" 6 15 10
"HMEL030190g1" 534 2112 1582
"HMEL014620g1" 4 48 28
"HMEL013468g1" 1068 4685 3964
"HMEL013324g1" 139 510 516
"HMEL009690g1" 1398 4409 4022
"HMEL008250g1" 95 202 249
"HMEL037666g1" 630 2788 2118
"HMEL037522g1" 4 44 43
"HMEL036226g1" 22 68 53
"HMEL030863g1" 382 1087 1286
"HMEL014817g1" 95 347 244
"HMEL008303g1" 1741 4138 3294
"HMEL037719g1" 87 374 298
"HMEL030916g1" 17 73 49
"HMEL018032g1" 115 424 456
"HMEL014817g2" 204 997 755
"HMEL011373g1" 48 131 125
"HMEL036391g1" 173 994 1122
"HMEL035571g1" 2 5 1
"HMEL034275g1" 0 0 0
"HMEL034131g1" 3499 13398 10079
"HMEL011426g1" 331 892 863
"HMEL007792g1" 450 1921 1849
"HMEL006496g1" 597 2299 1817
"HMEL005056g1" 189 498 639
"HMEL036920g1" 3 9 13
"HMEL035768g1" 7 20 15
"HMEL035624g1" 0 0 0
"HMEL034328g1" 465 1704 907
"HMEL016081g1" 160 850 807
"HMEL033673g1" 0 1 2
"HMEL032377g1" 20 46 17
"HMEL032233g1" 0 0 1
"HMEL017627g1" 1 1 2
"HMEL010968g1" 64 142 171
"HMEL010824g1" 56 195 142
"HMEL005894g1" 0 0 0
"HMEL033726g1" 0 2 1
"HMEL020697g1" 0 0 3
"HMEL014183g1" 21 82 94
"HMEL037085g1" 0 0 0
"HMEL015532g1" 129 546 463
"HMEL014236g1" 569 1610 1581
"HMEL009162g1" 46 84 65
"HMEL037138g1" 506 1397 1567
"HMEL033891g1" 1 1 1
"HMEL031775g1" 0 0 0
"HMEL031631g1" 71 208 118
"HMEL030479g1" 0 0 0
"HMEL030335g1" 1 3 2
"HMEL015729g1" 16 25 14
"HMEL014909g1" 191 561 677
"HMEL009215g1" 168 678 662
"HMEL008539g1" 5184 13369 11497
"HMEL002412g1" 199 863 703
"HMEL031828g1" 1157 5047 5440
"HMEL013581g1" 85 213 199
"HMEL012285g1" 591 3850 3338
"HMEL036483g1" 0 0 0
"HMEL035187g1" 0 0 0
"HMEL035043g1" 3 5 7
"HMEL013581g2" 101 336 272
"HMEL022611" 14 59 2
"HMEL017316" 2 6 5
"HMEL014930g1" 15 96 37
"HMEL012338g1" 343 1325 1330
"HMEL008560g1" 0 0 0
"HMEL037976g1" 155 678 1338
"HMEL037832g1" 19 92 70
"HMEL036536g1" 0 0 0
"HMEL022614" 0 0 0
"HMEL010190g1" 51 29 338
"HMEL010190g2" 83 250 563
"HMEL010190g3" 14 46 140
"HMEL008757g1" 215 736 528
"HMEL008613g1" 16 66 110
"HMEL007937g1" 526 2077 2284
"HMEL017046g1" 179 331 317
"HMEL011683g1" 21 45 153
"HMEL010243g1" 168 626 586
"HMEL034585g1" 0 6 0
"HMEL034441g1" 0 0 2
"HMEL033289g1" 2 6 1
"HMEL033145g1" 0 44 3
"HMEL033001g1" 377 1530 1517
"HMEL022619" 1 3 8
"HMEL006662g1" 2 12 40
"HMEL005222g1" 53 466 510
"HMEL005366g1" 0 0 0
"HMEL035934g1" 0 0 0
"HMEL034638g1" 64 485 640
"HMEL016391g1" 131 437 351
"HMEL005366g2" 0 1 0
"HMEL017740g1" 7 50 108
"HMEL016588g1" 51 167 177
"HMEL016300g1" 0 0 0
"HMEL033983g1" 0 0 0
"HMEL032687g1" 11 29 13
"HMEL032543g1" 1424 5027 4139
"HMEL031247g1" 3723 14335 12588
"HMEL031103g1" 96 462 415
"HMEL016588g2" 3 21 29
"HMEL016588g3" 17 89 103
"HMEL016588g4" 17 70 99
"HMEL017937g1" 0 0 0
"HMEL003468g1" 58 169 143
"HMEL004620g1" 138 435 476
"HMEL014493g1" 4 6 5
"HMEL013197g1" 176 648 398
"HMEL038071g1" 102 273 262
"HMEL037395g1" 1405 4493 4338
"HMEL037251g1" 30 70 89
"HMEL036099g1" 39 175 169
"HMEL014493g2" 0 2 0
"HMEL015842g1" 690 330 539
"HMEL014546g1" 0 0 0
"HMEL013106g1" 1 1 4
"HMEL009472g1" 1 0 0
"HMEL008176g1" 44 77 15
"HMEL037448g1" 2 12 14
"HMEL037304g1" 0 0 0
"HMEL036008g1" 0 0 17
"HMEL031941g1" 5 31 9
"HMEL030789g1" 7 33 19
"HMEL030645g1" 1 0 3
"HMEL030501g1" 4 20 21
"HMEL013106g2" 46 143 100
"HMEL009669g1" 57 201 146
"HMEL009525g1" 54 181 142
"HMEL008705g1" 230 1031 941
"HMEL002722g1" 12 20 869
"HMEL012595g1" 1009 3184 3429
"HMEL012451g1" 524 1558 1433
"HMEL011299g1" 569 2230 2239
"HMEL011155g1" 342 1177 1285
"HMEL035497g1" 29 163 177
"HMEL035353g1" 0 0 0
"HMEL034057g1" 1 2 1
"HMEL014755" 38 161 162
"HMEL011155g2" 715 1697 1789
"HMEL013944g1" 1 1 9
"HMEL011208g1" 1 2 2
"HMEL007430g1" 908 2869 3130
"HMEL004018g1" 74 444 449
"HMEL036846g1" 0 0 0
"HMEL036702g1" 0 0 6
"HMEL035406g1" 0 0 0
"HMEL022377g1" 50 178 207
"HMEL013944g2" 0 0 1
"HMEL007430g2" 0 0 0
"HMEL007430g3" 0 0 0
"HMEL017212g1" 0 4 0
"HMEL010553g1" 214 1324 1133
"HMEL034895g1" 61 371 282
"HMEL034751g1" 0 0 0
"HMEL033599g1" 0 0 0
"HMEL033455g1" 2 2 4
"HMEL033311g1" 4 25 5
"HMEL032159g1" 143 607 810
"HMEL032015g1" 37 185 222
"HMEL017212g2" 2 11 73
"HMEL017212g3" 25 181 173
"HMEL017212g4" 24 147 125
"HMEL010606g1" 178 879 831
"HMEL005532g1" 0 0 2
"HMEL005676g1" 8 104 65
"HMEL004236g1" 9 126 60
"HMEL034948g1" 7 14 32
"HMEL034804g1" 0 5 4
"HMEL033508g1" 0 1 0
"HMEL021775g1" 86 301 405
"HMEL015261g1" 0 11 6
"HMEL038163g1" 0 0 0
"HMEL032180g1" 42 153 180
"HMEL030064g1" 10 46 34
"HMEL021775g2" 33 68 84
"HMEL021775g3" 2 0 0
"HMEL016898g1" 157 634 671
"HMEL009088g1" 779 3613 3254
"HMEL038216g1" 0 0 0
"HMEL032997g1" 0 5 0
"HMEL032853g1" 2 5 0
"HMEL031557g1" 0 0 0
"HMEL031413g1" 1 9 11
"HMEL030117g1" 0 0 3
"HMEL025043g1" 130 781 789
"HMEL016807g1" 48 180 109
"HMEL004930g1" 0 1 5
"HMEL003634g1" 135 403 327
"HMEL032906g1" 77 397 581
"HMEL016807g2" 2 8 15
"HMEL013363g1" 195 878 971
"HMEL012067g1" 0 0 0
"HMEL036265g1" 0 0 1
"HMEL036121g1" 11 35 56
"HMEL030282g1" 0 1 0
"HMEL013363g2" 173 1246 1357
"HMEL014712g1" 423 1627 1779
"HMEL013416g1" 0 0 2
"HMEL009782g1" 90 297 230
"HMEL008486g1" 0 0 2
"HMEL037758g1" 0 0 0
"HMEL037614g1" 2 1 8
"HMEL036318g1" 0 0 0
"HMEL030955g1" 17 31 1
"HMEL030811g1" 38 345 174
"HMEL008486g2" 0 0 0
"HMEL008486g3" 0 0 1
"HMEL007719g1" 0 2 3
"HMEL012761g1" 77 379 446
"HMEL010169g1" 433 1037 1085
"HMEL005095g1" 506 1936 1868
"HMEL035663g1" 0 2 0
"HMEL034367g1" 0 0 0
"HMEL034223g1" 0 0 0
"HMEL012761g2" 26 101 92
"HMEL012761g3" 10 19 34
"HMEL012761g4" 124 477 510
"HMEL007740g1" 145 551 662
"HMEL006300g1" 6 10 18
"HMEL006444g1" 563 3145 2818
"HMEL035716g1" 12 28 26
"HMEL022543g1" 710 3298 2381
"HMEL021103g1" 307 1394 1315
"HMEL016173g1" 89 350 241
"HMEL033092g1" 0 0 2
"HMEL022543g2" 0 0 0
"HMEL022543g3" 119 758 711
"HMEL022620" 0 0 0
"HMEL017666g1" 0 0 5
"HMEL017522g1" 124 634 573
"HMEL010863g1" 572 2404 2804
"HMEL004493g1" 159 540 514
"HMEL003053g1" 0 0 0
"HMEL003197g1" 2 1 0
"HMEL035881g1" 0 1 0
"HMEL033765g1" 2 0 0
"HMEL033621g1" 0 0 0
"HMEL032469g1" 4 7 9
"HMEL032325g1" 56 167 147
"HMEL031029g1" 48 110 111
"HMEL022622" 0 0 0
"HMEL022623" 0 0 0
"HMEL022625" 0 0 0
"HMEL017719g1" 93 344 305
"HMEL004402g1" 194 502 511
"HMEL004546g1" 98 371 366
"HMEL005842g1" 51 321 375
"HmGr19_1" 1 0 5
"HMEL033818g1" 0 0 0
"HMEL022626" 0 0 0
"HMEL020501g1" 0 1 4
"HMEL014275g1" 122 336 375
"HMEL014131g1" 126 845 817
"HMEL037177g1" 0 0 0
"HMEL037033g1" 104 310 285
"HMEL032490g1" 0 0 7
"HMEL031194g1" 0 0 1
"HMEL031050g1" 1 6 0
"HMEL030374g1" 1 1 2
"HMEL030230g1" 9 25 35
"HMEL022628" 1 1 2
"HMEL022629" 0 0 0
"HMEL016920g1" 6 10 17
"HMEL015624g1" 0 3 10
"HMEL009398g1" 24 62 52
"HMEL009254g1" 99 374 409
"HMEL002451g1" 0 1 2
"HMEL003891g1" 1437 4214 4323
"HmGr40_1" 0 0 0
"HMEL031867g1" 0 0 0
"HMEL031723g1" 0 0 0
"HMEL030427g1" 0 0 0
"HMEL016920g2" 0 1 8
"HMEL015624g2" 0 0 0
"HMEL015624g3" 0 2 0
"HMEL015624g4" 0 0 5
"HMEL015624g5" 0 0 5
"HMEL009927g1" 111 371 271
"HMEL002504g1" 48 54 51
"HMEL002648g1" 106 275 188
"HMEL012377g1" 1 3 6
"HMEL036575g1" 0 0 2
"HMEL036431g1" 0 5 2
"HMEL035279g1" 4 13 15
"HMEL035135g1" 346 1048 981
"HMEL030592g1" 0 0 0
"HMEL013726g1" 2 3 1
"HMEL010874" 267 1543 1394
"HMEL008796g1" 124 369 236
"HMEL008652g1" 403 1564 1327
"HMEL007356g1" 0 0 0
"HMEL007212g1" 174 642 534
"HMEL037924g1" 0 0 0
"HMEL036628g1" 51 269 208
"HMEL010282g1" 300 1387 1394
"HMEL008796g2" 75 246 207
"HMEL007356g2" 1 1 0
"HMEL011631g1" 802 2621 2696
"HMEL010335g1" 1053 6089 7436
"HMEL005261g1" 25 45 18
"HMEL036793g1" 252 1012 590
"HMEL035973g1" 0 0 0
"HMEL034677g1" 89 264 550
"HMEL034533g1" 6 18 17
"HMEL033237g1" 0 2 1
"HMEL020064g1" 28 167 268
"HMEL006898g1" 18 77 66
"HMEL006610g1" 21 71 119
"HMEL006754g1" 428 1709 2386
"HMEL021557g1" 199 571 237
"HMEL020117g1" 0 3 3
"HMEL016483g1" 170 1134 691
"HMEL015187g1" 143 552 500
"HMEL015043g1" 0 0 0
"HMEL006610g2" 9 39 16
"HMEL038089g1" 4 14 21
"HMEL031286g1" 0 1 0
"HMEL031142g1" 0 2 0
"HMEL016483g2" 18 55 93
"HMEL015043g2" 0 0 0
"HMEL006610g3" 2983 11498 9549
"HMEL015043g3" 0 0 0
"HMEL017976g1" 28 126 93
"HMEL016536g1" 1 20 15
"HMEL033931g1" 0 1 20
"HMEL032779g1" 582 1734 2202
"HMEL032635g1" 254 895 723
"HMEL031339g1" 1 1 0
"HMEL013092g1" 206 569 594
"HMEL003416g1" 0 0 0
"HMEL020811g1" 98 363 2041
"HMEL015881g1" 87 811 1081
"HMEL014585g1" 1 5 2
"HMEL014441g1" 39 145 151
"HMEL013289g1" 488 1663 1551
"HMEL013001g1" 3 0 0
"HMEL008071g1" 3 0 0
"HMEL003416g2" 0 0 0
"HMEL037487g1" 0 0 0
"HMEL037343g1" 34 107 90
"HMEL036047g1" 5 47 0
"HMEL031360g1" 0 0 0
"HMEL030684g1" 1 4 0
"HMEL030540g1" 5 64 23
"HMEL008071g2" 1 2 0
"HMEL015934g1" 1 6 2
"HMEL009564g1" 0 0 4
"HMEL008268g1" 4149 12869 9629
"HMEL002761g1" 25 125 121
"HMEL030737g1" 231 580 499
"HMEL015934g2" 37 206 1
"HMEL012490g1" 101 484 370
"HMEL011050g1" 36 244 253
"HMEL015934g3" 2 25 23
"HMEL002958g1" 99 306 330
"HMEL012687g1" 15 23 17
"HMEL012543g1" 364 1025 717
"HMEL011247g1" 335 910 868
"HMEL006173g1" 932 4287 3813
"HMEL037561g1" 1 5 5
"HMEL036885g1" 0 0 0
"HMEL036741g1" 0 0 0
"HMEL035589g1" 5 40 62
"HMEL035445g1" 6 5 0
"HMEL035301g1" 0 0 0
"HMEL034149g1" 8 59 58
"HMEL034005g1" 0 1 0
"HMEL008962g1" 53 307 398
"HMEL036938g1" 0 0 0
"HMEL021029g1" 0 15 4
"HMEL017251g1" 804 2596 2090
"HmelGSTs10" 32 28 138
"HMEL034170g1" 0 1 3
"HMEL032198g1" 0 0 0
"HMEL032054g1" 0 0 0
"HmelGSTs11" 7 12 28
"HMEL017304g1" 262 765 3719
"HMEL011941g1" 548 1595 1457
"HMEL010789g1" 74 396 484
"HMEL010645g1" 111 569 692
"HMEL010501g1" 319 1448 1357
"HMEL005571g1" 39 214 353
"HMEL004275g1" 1 3 1
"HMEL034987g1" 1 0 2
"HMEL034843g1" 0 2 8
"HMEL033547g1" 406 2001 949
"HMEL033403g1" 0 0 3
"HMEL032107g1" 41 224 285
"HMEL021670g1" 0 0 4
"HMEL010645g2" 87 464 553
"HMEL021670g2" 0 0 0
"HMEL004328g1" 16 51 36
"HMEL005624g1" 0 0 0
"HMEL005768g1" 137 677 744
"HMEL016793g1" 68 244 323
"HMEL015497g1" 143 826 736
"HMEL015353g1" 2 24 21
"HMEL038111g1" 25 134 187
"HMEL032272g1" 0 2 4
"HMEL031596g1" 1 15 14
"HMEL031452g1" 40 145 206
"HMEL030156g1" 0 4 0
"HMEL030012g1" 12 32 20
"HMEL016793g2" 88 245 237
"HMEL016846g1" 17 109 97
"HMEL003673g1" 153 379 125
"HMEL032945g1" 0 0 1
"HMEL032801g1" 145 498 425
"HMEL031649g1" 173 764 723
"HMEL031505g1" 21 62 89
"HMEL030209g1" 4 15 6
"HMEL003726g1" 34 116 110
"HMEL014895g1" 308 873 856
"HMEL013455g1" 54 216 257
"HMEL013311g1" 83 378 522
"HMEL008381g1" 201 769 913
"HMEL007085g1" 4 20 86
"HMEL037797g1" 0 1 1
"HMEL037653g1" 0 0 0
"HMEL036357g1" 247 1107 1280
"HMEL036213g1" 2 27 7
"HMEL031670g1" 195 942 992
"HMEL022630" 0 0 0
"HMEL022631" 0 0 0
"HMEL022633" 2 3 2
"HMEL014948g1" 2 3 5
"HMEL014804g1" 141 504 543
"HMEL013508g1" 46 192 215
"HMEL009874g1" 686 2253 2307
"HMEL009730g1" 443 1858 1694
"HMEL008578g1" 0 2 1
"HMEL008434g1" 7 124 67
"HMEL007138g1" 1 9 0
"HMEL037706g1" 111 802 669
"HMEL030903g1" 7 19 14
"HMEL011360g1" 34 118 125
"HMEL010064g1" 147 420 422
"HMEL008578g2" 16 13 6
"HMEL008434g2" 5 22 4
"HMEL035082g1" 3 46 62
"HMEL022635" 0 0 0
"HMEL008434g3" 3 22 9
"HMEL022636" 2 0 2
"HMEL008434g4" 115 744 386
"HMEL022637" 44 126 50
"HMEL012997g1" 0 0 1
"HMEL011557g1" 68 321 240
"HMEL011413g1" 429 1301 1057
"HMEL010117g1" 107 279 247
"HMEL006483g1" 464 1199 1407
"HMEL037871g1" 0 0 0
"HMEL035899g1" 0 0 0
"HMEL035755g1" 480 1768 1810
"HMEL035611g1" 0 2 3
"HMEL034459g1" 4 2 7
"HMEL034315g1" 0 1 0
"HMEL033019g1" 17 70 94
"HMEL022639" 0 0 0
"HMEL007976g1" 1 0 1
"HMEL035808g1" 15 168 285
"HMEL017561g1" 327 1320 1195
"HMEL016265g1" 43 316 365
"HMEL034480g1" 0 0 0
"HMEL033184g1" 0 0 0
"HMEL033040g1" 973 4274 4281
"HMEL032364g1" 160 429 412
"HMEL032220g1" 0 4 4
"HMEL031068g1" 289 1027 1045
"HMEL016265g2" 44 216 213
"HMEL013904" 10 25 87
"HMEL017758g1" 96 491 333
"HMEL016318g1" 4012 16649 11299
"HMEL010955g1" 735 2394 2078
"HMEL010811g1" 55 193 213
"HMEL005881g1" 156 594 698
"HMEL004441g1" 255 1162 1841
"HMEL003001g1" 40 91 70
"HMEL003289g1" 347 1539 1626
"HmGr58_1" 0 2 2
"HMEL033857g1" 0 0 0
"HMEL033713g1" 40 140 104
"HMEL032417g1" 2 8 11
"HMEL014170g1" 82 155 160
"HMEL004638g1" 0 2 10
"HMEL005934g1" 55 237 131
"HMEL015663g1" 108 626 550
"HMEL014367g1" 100 305 317
"HMEL037269g1" 0 0 6
"HMEL037125g1" 0 1 3
"HMEL032582g1" 21 96 64
"HMEL031762g1" 1 6 2
"HMEL030466g1" 0 0 0
"HMEL030322g1" 0 1 0
"HMEL015716g1" 31 155 249
"HMEL009346g1" 1 0 2
"HMEL009202g1" 159 567 503
"HMEL002543g1" 3098 9928 8996
"HMEL002687g1" 78 233 221
"HMEL031959g1" 49 194 147
"HMEL031815g1" 444 1318 1255
"HMEL030519g1" 0 0 0
"HMEL012272g1" 214 741 502
"HMEL037290g1" 9 28 62
"HMEL013621g1" 1 4 2
"HMEL011029g1" 173 526 736
"HMEL007395g1" 110 313 332
"HMEL037963g1" 570 1061 1107
"HMEL036667g1" 21 176 186
"HMEL036523g1" 0 0 0
"HMEL035227g1" 604 2256 1527
"HMEL031980g1" 54 96 119
"HMEL022054g1" 0 0 0
"HMEL011029g2" 275 1096 1660
"HMEL011029g3" 0 0 0
"HMEL011029g4" 0 9 18
"HMEL008888g1" 18 79 91
"HMEL008744g1" 0 0 6
"HMEL017033g1" 42 124 79
"HMEL010374g1" 0 0 0
"HMEL035392g1" 8 28 39
"HMEL034096g1" 7 13 41
"HMEL033276g1" 0 0 0
"HMEL033132g1" 19 69 37
"HMEL011723g1" 32 98 93
"HMEL010427g1" 4474 22935 18871
"HMEL006793g1" 127 429 269
"HMEL035921g1" 0 0 1
"HMEL034769g1" 13 69 8
"HMEL034625g1" 2 2 0
"HMEL033329g1" 4 3 8
"HMEL021452g1" 0 0 0
"HMEL015082g1" 0 0 1
"HMEL021452g2" 211 505 146
"HMEL006846g1" 98 378 405
"HMEL005406g1" 209 898 908
"HMEL017871g1" 3 29 23
"HMEL016431g1" 181 690 784
"HMEL015279g1" 3 21 5
"HMEL015135g1" 97 481 657
"HMEL038037g1" 4 24 10
"HMEL034790g1" 3 3 1
"HMEL033494g1" 2168 16087 14974
"HMEL033350g1" 1 6 0
"HMEL032674g1" 100 523 639
"HMEL032530g1" 1343 4842 4340
"HMEL031378g1" 2 7 11
"HMEL031234g1" 424 1159 1198
"HMEL003599g1" 61976 199299 279703
"HMEL002159g1" 0 0 2
"HMEL003311g1" 224 584 619
"HMEL032727g1" 45 380 206
"HMEL013184g1" 634 2226 2395
"HMEL013040g1" 0 0 0
"HMEL002159g2" 0 1 12
"HMEL013184g2" 130 1042 1181
"HMEL013040g2" 0 9 0
"HMEL013040g3" 6 5 0
"HMEL004804g1" 6 26 23
"HMEL020903g1" 8 39 51
"HMEL015973g1" 108 330 302
"HMEL014677g1" 40 108 52
"HMEL013237g1" 0 3 1
"HMEL008163g1" 144 560 497
"HMEL037579g1" 12 39 49
"HMEL037435g1" 0 0 0
"HMEL036139g1" 0 0 0
"HMEL032892g1" 107 531 649
"HMEL030776g1" 23 100 84
"HMEL030632g1" 268 1053 905
"HMEL008163g2" 73 238 269
"HMEL009656g1" 290 1442 1099
"HMEL002997g1" 4 1 1
"HMEL030829g1" 5 26 30
"HMEL018089g1" 0 0 1
"HMEL012582g1" 0 0 1
"HMEL011286g1" 40 119 93
"HMEL011142g1" 44 189 162
"HMEL036160g1" 11 17 10
"HMEL034188g1" 455 1568 1419
"HMEL034044g1" 190 658 630
"HMEL011339g1" 2054 5075 3663
"HMEL006121g1" 7099 21211 14301
"HMEL006265g1" 151 534 546
"HMEL036977g1" 0 0 0
"HMEL036833g1" 0 0 1
"HMEL035537g1" 0 0 0
"HMEL030994g1" 2 2 0
"HMEL030850g1" 0 0 0
"HMEL022364g1" 56 152 158
"HMEL022220g1" 0 0 0
"HMEL017290g1" 82 357 362
"HMEL007758g1" 33 264 263
"HMEL007614g1" 73 471 345
"HMEL011980g1" 68 309 394
"HMEL010684g1" 0 0 3
"HMEL007614g2" 125 732 376
"HMEL004170g1" 0 0 1
"HMEL034262g1" 2 1 0
"HMEL033586g1" 1 22 11
"HMEL033442g1" 2 0 3
"HMEL032146g1" 1 12 0
"HMEL032002g1" 0 2 2
"HMEL011980g2" 55 241 276
"HMEL022640" 0 0 0
"HMEL022641" 0 0 0
"HMEL010737g1" 1197 6389 14109
"HMEL005663g1" 120 391 283
"HMEL034935g1" 0 0 1
"HMEL033639g1" 0 0 2
"HMEL022642" 0 0 0
"HMEL014096g1" 1090 4479 4490
"HMEL022644" 0 0 0
"HMEL022645" 0 0 0
"HMEL016885g1" 562 1412 2045
"HMEL015589g1" 91 375 349
"HMEL015301g1" 308 1417 1374
"HMEL014149g1" 0 5 3
"HMEL038203g1" 2 6 11
"HMEL033660g1" 2 2 2
"HMEL031688g1" 1 0 0
"HMEL031544g1" 2 18 19
"HMEL031400g1" 2 0 1
"HMEL030248g1" 138 361 377
"HMEL030104g1" 51 180 74
"HMEL022648" 0 0 1
"HMEL022649" 0 0 0
"HMEL009128g1" 0 0 4
"HMEL008612" 0 0 1
"HMEL002325g1" 0 0 0
"HMEL001029g1" 91 316 299
"HMEL013494g1" 11 58 93
"HMEL013350g1" 1 6 62
"HMEL012054g1" 77 299 250
"HMEL037072g1" 1 8 12
"HMEL005593" 0 0 0
"HMEL014987g1" 0 0 2
"HMEL013547g1" 106 604 647
"HMEL013403g1" 36 201 70
"HMEL012107g1" 18 97 132
"HMEL005594" 16 36 13
"HMEL037889g1" 6 2 6
"HMEL037745g1" 0 0 0
"HMEL037601g1" 1 0 0
"HMEL036449g1" 1 2 1
"HMEL036305g1" 1 6 6
"HMEL035009g1" 38 75 85
"HMEL030942g1" 0 1 0
"HMEL012107g2" 482 1543 1516
"HMEL012107g3" 0 0 1
"HMEL005596" 226 542 46
"HMEL012107g4" 178 590 466
"HMEL005597" 1 3 1
"HMEL009822g1" 5591 20311 32696
"HMEL008526g1" 44 167 97
"HMEL018111g1" 0 0 0
"HMEL036470g1" 0 0 0
"HMEL035174g1" 0 1 0
