"V2" "V3" "V4"
"HMEL015695g1" 0 4 1
"HMEL014875g1" 0 0 0
"HMEL014731g1" 4322 10272 8122
"HMEL013579g1" 16 50 128
"HMEL013435g1" 10 30 19
"HMEL008361g1" 199 639 851
"HMEL003706g2" 0 0 0
"HMEL037157g1" 0 0 0
"HMEL037013g1" 0 0 0
"HMEL031794g1" 0 1 1
"HMEL031650g1" 0 0 0
"HMEL030498g1" 0 0 0
"HMEL030354g1" 0 0 0
"HMEL030210g1" 12 67 67
"HMEL014875g2" 0 0 13
"HMEL014928g1" 114 778 859
"HMEL009710g1" 7882 21961 19985
"HMEL008558g1" 29 140 138
"HMEL008414g1" 3 5 2
"HMEL007118g1" 50 306 438
"HMEL031847g1" 0 2 1
"HMEL031703g1" 267 1209 1164
"HMEL012160g1" 0 0 2
"HMEL035062g1" 518 2093 2640
"HMEL009907g1" 131 480 486
"HMEL012833g1" 286 970 936
"HMEL037995g1" 0 0 0
"HMEL037851g1" 0 6 4
"HMEL036699g1" 0 0 0
"HMEL036555g1" 22 95 130
"HMEL036411g1" 138 489 450
"HMEL035259g1" 0 0 0
"HMEL035115g1" 0 1 15
"HMEL007956g1" 890 2276 2096
"HMEL003581" 0 1 8
"HMEL037904g1" 79 191 227
"HMEL016389g1" 25 116 127
"HMEL016245g1" 60 198 151
"HMEL016101g1" 1 5 9
"HMEL007956g2" 89 485 433
"HMEL003582" 0 0 0
"HMEL034460g1" 4 15 20
"HMEL033164g1" 0 25 3
"HMEL033020g1" 1 3 16
"HMEL016101g2" 0 0 0
"HMEL003583" 2 0 0
"HMEL003584" 0 0 0
"HMEL005861g1" 65 72 860
"HMEL004421g1" 420 1580 1389
"HMEL004565g1" 10 48 81
"HMEL003125g1" 1064 3956 4097
"HMEL035953g1" 2 14 5
"HMEL034657g1" 5 8 1
"HMEL034513g1" 0 1 0
"HMEL033217g1" 3 59 7
"HMEL005861g2" 4 6 25
"HMEL005861g3" 21 5 150
"HMEL005861g4" 948 2680 9527
"HMEL005861g5" 923 2844 4751
"HMEL020717g1" 0 0 0
"HMEL009273g1" 7 16 9
"HMEL038069g1" 31 128 85
"HMEL032562g1" 0 0 0
"HMEL031266g1" 0 0 1
"HMEL031122g1" 0 0 17
"HmIR60a2a_1" 0 0 5
"HMEL009326g1" 3 11 34
"HMEL003963g1" 28 103 128
"HMEL033911g1" 2 3 1
"HMEL032759g1" 0 0 0
"HMEL032615g1" 0 0 3
"HMEL031939g1" 1 6 6
"HMEL037270g1" 2 6 0
"HMEL015861g1" 10 35 40
"HMEL013601g1" 158 598 495
"HMEL012305g1" 0 0 0
"HMEL009491g1" 17 117 102
"HMEL008671g1" 824 3958 3944
"HMEL007231g1" 0 10 9
"HMEL006079g1" 14 84 84
"HMEL037467g1" 30 85 136
"HMEL037323g1" 0 0 0
"HMEL036027g1" 19 84 44
"HMEL031960g1" 112 338 279
"HMEL030664g1" 0 0 3
"HMEL030520g1" 0 0 0
"HMEL012305g2" 0 3 5
"HMEL006079g2" 0 0 0
"HMEL006079g3" 6 30 30
"HMEL008868g1" 35 116 131
"HMEL007428g1" 5 58 64
"HMEL017157g1" 13 94 49
"HMEL011174g1" 0 0 0
"HMEL011030g1" 2 4 6
"HMEL010498g1" 1 5 2
"HMEL007428g2" 768 5397 4835
"HMEL035372g1" 0 0 0
"HMEL034076g1" 0 6 2
"HMEL011030g2" 19 97 63
"HMEL011030g3" 24 173 150
"HMEL011847g1" 259 1048 1030
"HMEL011703g1" 1 3 3
"HMEL010407g1" 758 2634 2200
"HMEL005477g1" 138 701 652
"HMEL036865g1" 2 7 4
"HMEL036721g1" 1 5 10
"HMEL035569g1" 23 146 131
"HMEL035425g1" 1 0 0
"HMEL034129g1" 94 905 1143
"HMEL033309g1" 2267 9389 7347
"HMEL021629g1" 0 18 13
"HMEL017375g1" 258 863 686
